time_s,elapsed_s,estimate_x_m,estimate_y_m,estimate_yaw_rad,gt_x_m,gt_y_m,gt_yaw_rad,position_error_m,yaw_error_rad,abs_yaw_error_rad,pair_dt_s,amcl_covariance_xy,amcl_covariance_yaw
56.600000000,20.320000000,3.460536989,0.500489282,2.307947799,3.744360417,0.371457557,2.353906411,0.311777042,-0.045958612,0.045958612,0.020000000,0.001134938,0.000481637
56.720000000,20.440000000,3.435093881,0.524581324,2.424331605,3.747847127,0.393209673,2.430493085,0.339224268,-0.006161481,0.006161481,0.020000000,0.001063032,0.000461521
56.840000000,20.560000000,3.406142895,0.547267588,2.540485146,3.735255110,0.438211613,2.578002671,0.346710334,-0.037517525,0.037517525,0.020000000,0.001094993,0.000481579
57.000000000,20.720000000,3.364973097,0.570845051,2.641587368,3.699348982,0.475731323,2.657675904,0.347640408,-0.016088536,0.016088536,0.020000000,0.000957961,0.000459678
57.580000000,21.300000000,3.210955405,0.649876696,2.669629171,3.553503788,0.556283952,2.672162743,0.355104205,-0.002533572,0.002533572,0.000000000,0.000823713,0.000535197
58.160000000,21.880000000,3.054988060,0.727880557,2.671821921,3.404116417,0.632404219,2.672151840,0.361947981,-0.000329920,0.000329920,0.020000000,0.000741568,0.000631661
58.740000000,22.460000000,2.901923220,0.804459269,2.671546472,3.241715934,0.714458165,2.672198620,0.351510011,-0.000652148,0.000652148,0.000000000,0.000637410,0.000637512
59.320000000,23.040000000,2.745559855,0.881904381,2.675001409,3.083093460,0.795320168,2.670419535,0.348461993,0.004581874,0.004581874,0.020000000,0.000650197,0.000637001
59.900000000,23.620000000,2.588933492,0.958973353,2.677091831,2.933459778,0.871578833,2.670282677,0.355437990,0.006809154,0.006809154,0.000000000,0.000645633,0.000659893
60.480000000,24.200000000,2.432886490,1.033336320,2.680813236,2.783641668,0.947830802,2.670585609,0.361026852,0.010227628,0.010227628,0.020000000,0.000752222,0.000719923
61.060000000,24.780000000,2.277237343,1.108091562,2.682422183,2.624876436,1.029274668,2.669029524,0.356461837,0.013392659,0.013392659,0.000000000,0.000781959,0.000670061
61.640000000,25.360000000,2.121025982,1.183360725,2.683796924,2.464742920,1.111148252,2.669365110,0.351220693,0.014431813,0.014431813,0.020000000,0.000944176,0.000716773
62.220000000,25.940000000,1.963837405,1.255775194,2.700444480,2.292124695,1.195779495,2.686419014,0.333724480,0.014025466,0.014025466,0.000000000,0.001088551,0.000689107
62.780000000,26.500000000,1.807791254,1.322122880,2.788806211,2.174250547,1.275132236,2.777003672,0.369459787,0.011802539,0.011802539,0.000000000,0.001270885,0.000665243
63.140000000,26.860000000,1.705837716,1.352153764,2.895775887,2.094407794,1.326472117,2.885396311,0.389417838,0.010379576,0.010379576,0.000000000,0.001243218,0.000587005
63.340000000,27.060000000,1.646789878,1.364017998,2.999099479,2.037330292,1.347086919,2.991922304,0.390907248,0.007177175,0.007177175,0.000000000,0.001262607,0.000543152
